event_time,link_id,utilization_pct,error_count,optical_rx_dbm,oper_state
2026-09-01T09:57:13,L-005,44.2,0,-7.7,up
2026-09-01T09:57:13,L-006,62.0,0,-7.8,up
2026-09-01T09:57:13,L-007,34.6,0,-7.4,up
2026-09-01T09:57:13,L-008,41.4,0,-7.7,up
2026-09-01T09:57:13,L-009,31.7,0,-7.3,up
2026-09-01T09:57:13,L-010,14.1,0,-7.3,up
2026-09-01T09:58:13,L-005,49.6,0,-7.6,up
2026-09-01T09:58:13,L-006,59.2,0,-7.2,up
2026-09-01T09:58:13,L-007,35.7,0,-7.7,up
2026-09-01T09:58:13,L-008,37.8,0,-7.3,up
2026-09-01T09:58:13,L-009,31.8,0,-7.3,up
2026-09-01T09:58:13,L-010,19.8,0,-7.5,up
2026-09-01T09:59:13,L-005,51.8,0,-7.6,up
2026-09-01T09:59:13,L-006,62.4,0,-7.3,up
2026-09-01T09:59:13,L-007,37.9,0,-7.3,up
2026-09-01T09:59:13,L-008,41.6,0,-7.4,up
2026-09-01T09:59:13,L-009,27.4,0,-7.7,up
2026-09-01T09:59:13,L-010,16.3,0,-7.8,up
2026-09-01T10:00:13,L-005,45.9,0,-7.7,up
2026-09-01T10:00:13,L-006,60.2,0,-7.4,up
2026-09-01T10:00:13,L-007,35.9,0,-7.6,up
2026-09-01T10:00:13,L-008,38.7,0,-7.6,up
2026-09-01T10:00:13,L-009,34.5,0,-7.4,up
2026-09-01T10:00:13,L-010,18.9,0,-7.7,up
2026-09-01T10:01:13,L-005,49.8,0,-7.7,up
2026-09-01T10:01:13,L-006,61.0,60,-15.6,up
2026-09-01T10:01:13,L-007,34.8,0,-7.6,up
2026-09-01T10:01:13,L-008,43.1,0,-7.8,up
2026-09-01T10:01:13,L-009,33.6,0,-7.3,up
2026-09-01T10:01:13,L-010,17.2,0,-7.8,up
2026-09-01T10:02:13,L-005,51.3,0,-7.5,up
2026-09-01T10:02:13,L-006,0,1000,-40.0,down
2026-09-01T10:02:13,L-007,37.0,0,-7.3,up
2026-09-01T10:02:13,L-008,42.1,0,-7.7,up
2026-09-01T10:02:13,L-009,28.1,0,-7.4,up
2026-09-01T10:02:13,L-010,18.3,0,-7.4,up
2026-09-01T10:03:13,L-005,47.4,0,-7.4,up
2026-09-01T10:03:13,L-006,0,1000,-40.0,down
2026-09-01T10:03:13,L-007,34.1,0,-7.5,up
2026-09-01T10:03:13,L-008,43.0,0,-7.3,up
2026-09-01T10:03:13,L-009,28.2,0,-7.7,up
2026-09-01T10:03:13,L-010,19.4,0,-7.4,up
2026-09-01T10:04:13,L-005,47.1,0,-7.4,up
2026-09-01T10:04:13,L-006,0,1000,-40.0,down
2026-09-01T10:04:13,L-007,37.4,0,-7.2,up
2026-09-01T10:04:13,L-008,42.4,0,-7.7,up
2026-09-01T10:04:13,L-009,34.1,0,-7.3,up
2026-09-01T10:04:13,L-010,20.1,0,-7.6,up
2026-09-01T10:05:13,L-005,46.3,0,-7.7,up
2026-09-01T10:05:13,L-006,0,1000,-40.0,down
2026-09-01T10:05:13,L-007,38.8,0,-7.2,up
2026-09-01T10:05:13,L-008,43.1,0,-7.5,up
2026-09-01T10:05:13,L-009,27.9,0,-7.4,up
2026-09-01T10:05:13,L-010,20.7,0,-7.5,up
2026-09-01T10:06:13,L-005,45.6,0,-7.6,up
2026-09-01T10:06:13,L-006,0,1000,-40.0,down
2026-09-01T10:06:13,L-007,40.4,0,-7.2,up
2026-09-01T10:06:13,L-008,41.8,0,-7.5,up
2026-09-01T10:06:13,L-009,27.9,0,-7.6,up
2026-09-01T10:06:13,L-010,21.9,0,-7.3,up
2026-09-01T10:07:13,L-005,45.9,0,-7.7,up
2026-09-01T10:07:13,L-006,0,1000,-40.0,down
2026-09-01T10:07:13,L-007,38.9,0,-7.3,up
2026-09-01T10:07:13,L-008,44.8,0,-7.5,up
2026-09-01T10:07:13,L-009,28.0,0,-7.4,up
2026-09-01T10:07:13,L-010,21.6,0,-7.7,up
