link_id,src_node,dst_node,capacity_gbps,latency_ms,link_role,admin_state
L-001,CORE-01,CORE-02,100,2,core,up
L-002,CORE-01,PE-01,100,1,core,up
L-003,CORE-01,PE-02,100,1,core,up
L-004,CORE-02,PE-03,100,1,core,up
L-005,PE-01,AGG-01,40,3,metro,up
L-006,PE-02,AGG-02,40,3,metro,up
L-007,PE-03,AGG-03,40,3,metro,up
L-008,AGG-01,AGG-02,20,5,metro_backup,up
L-009,AGG-02,AGG-03,20,5,metro_backup,up
L-010,AGG-01,AGG-03,10,8,metro_backup,up
L-011,AGG-01,ACC-01,10,2,access,up
L-012,ACC-01,CELL-01-1,1,1,last_mile,up
L-013,ACC-01,CELL-01-2,1,1,last_mile,up
L-014,ACC-01,CELL-01-3,1,1,last_mile,up
L-015,AGG-01,ACC-02,10,2,access,up
L-016,ACC-02,CELL-02-1,1,1,last_mile,up
L-017,ACC-02,CELL-02-2,1,1,last_mile,up
L-018,ACC-02,CELL-02-3,1,1,last_mile,up
L-019,AGG-01,ACC-03,10,2,access,up
L-020,ACC-03,CELL-03-1,1,1,last_mile,up
L-021,ACC-03,CELL-03-2,1,1,last_mile,up
L-022,ACC-03,CELL-03-3,1,1,last_mile,up
L-023,AGG-01,ACC-04,10,2,access,up
L-024,ACC-04,CELL-04-1,1,1,last_mile,up
L-025,ACC-04,CELL-04-2,1,1,last_mile,up
L-026,ACC-04,CELL-04-3,1,1,last_mile,up
L-027,AGG-02,ACC-05,10,2,access,up
L-028,ACC-05,CELL-05-1,1,1,last_mile,up
L-029,ACC-05,CELL-05-2,1,1,last_mile,up
L-030,ACC-05,CELL-05-3,1,1,last_mile,up
L-031,AGG-02,ACC-06,10,2,access,up
L-032,ACC-06,CELL-06-1,1,1,last_mile,up
L-033,ACC-06,CELL-06-2,1,1,last_mile,up
L-034,ACC-06,CELL-06-3,1,1,last_mile,up
L-035,AGG-02,ACC-07,10,2,access,up
L-036,ACC-07,CELL-07-1,1,1,last_mile,up
L-037,ACC-07,CELL-07-2,1,1,last_mile,up
L-038,ACC-07,CELL-07-3,1,1,last_mile,up
L-039,AGG-02,ACC-08,10,2,access,up
L-040,ACC-08,CELL-08-1,1,1,last_mile,up
L-041,ACC-08,CELL-08-2,1,1,last_mile,up
L-042,ACC-08,CELL-08-3,1,1,last_mile,up
L-043,AGG-03,ACC-09,10,2,access,up
L-044,ACC-09,CELL-09-1,1,1,last_mile,up
L-045,ACC-09,CELL-09-2,1,1,last_mile,up
L-046,ACC-09,CELL-09-3,1,1,last_mile,up
L-047,AGG-03,ACC-10,10,2,access,up
L-048,ACC-10,CELL-10-1,1,1,last_mile,up
L-049,ACC-10,CELL-10-2,1,1,last_mile,up
L-050,ACC-10,CELL-10-3,1,1,last_mile,up
L-051,AGG-03,ACC-11,10,2,access,up
L-052,ACC-11,CELL-11-1,1,1,last_mile,up
L-053,ACC-11,CELL-11-2,1,1,last_mile,up
L-054,ACC-11,CELL-11-3,1,1,last_mile,up
L-055,AGG-03,ACC-12,10,2,access,up
L-056,ACC-12,CELL-12-1,1,1,last_mile,up
L-057,ACC-12,CELL-12-2,1,1,last_mile,up
L-058,ACC-12,CELL-12-3,1,1,last_mile,up
