node_id,node_type,domain,location,admin_state
CORE-01,core_router,CORE,Core DC,active
CORE-02,core_router,CORE,Core DC,active
PE-01,pe_router,CORE,Core DC,active
PE-02,pe_router,CORE,Core DC,active
PE-03,pe_router,CORE,Core DC,active
AGG-01,aggregation_router,METRO-A,Metro A,active
AGG-02,aggregation_router,METRO-B,Metro B,active
AGG-03,aggregation_router,METRO-C,Metro C,active
ACC-01,access_router,METRO-A,Metro A,active
CELL-01-1,cell_site,METRO-A,Metro A,active
CELL-01-2,cell_site,METRO-A,Metro A,active
CELL-01-3,cell_site,METRO-A,Metro A,active
ACC-02,access_router,METRO-A,Metro A,active
CELL-02-1,cell_site,METRO-A,Metro A,active
CELL-02-2,cell_site,METRO-A,Metro A,active
CELL-02-3,cell_site,METRO-A,Metro A,active
ACC-03,access_router,METRO-A,Metro A,active
CELL-03-1,cell_site,METRO-A,Metro A,active
CELL-03-2,cell_site,METRO-A,Metro A,active
CELL-03-3,cell_site,METRO-A,Metro A,active
ACC-04,access_router,METRO-A,Metro A,active
CELL-04-1,cell_site,METRO-A,Metro A,active
CELL-04-2,cell_site,METRO-A,Metro A,active
CELL-04-3,cell_site,METRO-A,Metro A,active
ACC-05,access_router,METRO-B,Metro B,active
CELL-05-1,cell_site,METRO-B,Metro B,active
CELL-05-2,cell_site,METRO-B,Metro B,active
CELL-05-3,cell_site,METRO-B,Metro B,active
ACC-06,access_router,METRO-B,Metro B,active
CELL-06-1,cell_site,METRO-B,Metro B,active
CELL-06-2,cell_site,METRO-B,Metro B,active
CELL-06-3,cell_site,METRO-B,Metro B,active
ACC-07,access_router,METRO-B,Metro B,active
CELL-07-1,cell_site,METRO-B,Metro B,active
CELL-07-2,cell_site,METRO-B,Metro B,active
CELL-07-3,cell_site,METRO-B,Metro B,active
ACC-08,access_router,METRO-B,Metro B,active
CELL-08-1,cell_site,METRO-B,Metro B,active
CELL-08-2,cell_site,METRO-B,Metro B,active
CELL-08-3,cell_site,METRO-B,Metro B,active
ACC-09,access_router,METRO-C,Metro C,active
CELL-09-1,cell_site,METRO-C,Metro C,active
CELL-09-2,cell_site,METRO-C,Metro C,active
CELL-09-3,cell_site,METRO-C,Metro C,active
ACC-10,access_router,METRO-C,Metro C,active
CELL-10-1,cell_site,METRO-C,Metro C,active
CELL-10-2,cell_site,METRO-C,Metro C,active
CELL-10-3,cell_site,METRO-C,Metro C,active
ACC-11,access_router,METRO-C,Metro C,active
CELL-11-1,cell_site,METRO-C,Metro C,active
CELL-11-2,cell_site,METRO-C,Metro C,active
CELL-11-3,cell_site,METRO-C,Metro C,active
ACC-12,access_router,METRO-C,Metro C,active
CELL-12-1,cell_site,METRO-C,Metro C,active
CELL-12-2,cell_site,METRO-C,Metro C,active
CELL-12-3,cell_site,METRO-C,Metro C,active
