service_id,hop_order,src_node,dst_node,link_id
SVC-001,1,CORE-01,PE-02,L-003
SVC-001,2,PE-02,AGG-02,L-006
SVC-001,3,AGG-02,ACC-05,L-027
SVC-001,4,ACC-05,CELL-05-1,L-028
SVC-002,1,CORE-01,PE-02,L-003
SVC-002,2,PE-02,AGG-02,L-006
SVC-002,3,AGG-02,ACC-05,L-027
SVC-002,4,ACC-05,CELL-05-1,L-028
SVC-003,1,CORE-01,PE-02,L-003
SVC-003,2,PE-02,AGG-02,L-006
SVC-003,3,AGG-02,ACC-05,L-027
SVC-003,4,ACC-05,CELL-05-1,L-028
SVC-004,1,CORE-01,PE-01,L-002
SVC-004,2,PE-01,AGG-01,L-005
SVC-004,3,AGG-01,ACC-01,L-011
SVC-005,1,CORE-01,PE-01,L-002
SVC-005,2,PE-01,AGG-01,L-005
SVC-005,3,AGG-01,ACC-02,L-015
SVC-006,1,CORE-01,PE-01,L-002
SVC-006,2,PE-01,AGG-01,L-005
SVC-006,3,AGG-01,ACC-03,L-019
SVC-007,1,CORE-01,PE-01,L-002
SVC-007,2,PE-01,AGG-01,L-005
SVC-007,3,AGG-01,ACC-04,L-023
SVC-008,1,CORE-01,PE-02,L-003
SVC-008,2,PE-02,AGG-02,L-006
SVC-008,3,AGG-02,ACC-05,L-027
SVC-009,1,CORE-01,PE-02,L-003
SVC-009,2,PE-02,AGG-02,L-006
SVC-009,3,AGG-02,ACC-06,L-031
SVC-010,1,CORE-01,PE-02,L-003
SVC-010,2,PE-02,AGG-02,L-006
SVC-010,3,AGG-02,ACC-07,L-035
SVC-011,1,CORE-01,PE-02,L-003
SVC-011,2,PE-02,AGG-02,L-006
SVC-011,3,AGG-02,ACC-08,L-039
SVC-012,1,CORE-02,PE-03,L-004
SVC-012,2,PE-03,AGG-03,L-007
SVC-012,3,AGG-03,ACC-09,L-043
SVC-013,1,CORE-02,PE-03,L-004
SVC-013,2,PE-03,AGG-03,L-007
SVC-013,3,AGG-03,ACC-10,L-047
SVC-014,1,CORE-02,PE-03,L-004
SVC-014,2,PE-03,AGG-03,L-007
SVC-014,3,AGG-03,ACC-11,L-051
SVC-015,1,CORE-02,PE-03,L-004
SVC-015,2,PE-03,AGG-03,L-007
SVC-015,3,AGG-03,ACC-12,L-055
